raw_data_type,model_type,model,prior,phoneme_grouping_type,set_data_file,subset_data
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme27
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme28
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme29
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme31
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme32
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme33
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme35
aaps,binomial,model_binomialv2,prior_binomial,grouping2,subset_data_grouping2,dataPhoneme36
